CustomerID,LastPurchase,Frequency,Monetary,Recency
17252,45:00.0,2,353.86,116
13571,47:00.0,12,2092.32,12
17899,58:00.0,1,155.8,159
16488,42:00.0,3,498.8,33
16239,29:00.0,2,414.2,56
15990,58:00.0,2,792.11,44
13322,21:00.0,1,199.48,17
17650,52:00.0,1,166.08,21
12681,33:00.0,22,13787.54,14
16880,33:00.0,7,1519.08,30
14175,55:00.0,3,3222.3,59
18005,51:00.0,2,249.72,3
12552,02:00.0,2,437.82,38
17507,48:00.0,2,605.58,261
15386,47:00.0,1,394.14,186
15194,10:00.0,15,7616.53,3
14367,19:00.0,16,9261.52,8
13534,52:00.0,25,5870.08,2
14616,54:00.0,3,406.08,242
17613,51:00.0,14,4559.15,22
16027,47:00.0,6,934.62,91
12695,22:00.0,4,582.1,7
16276,34:00.0,1,810.6,176
17862,23:00.0,1,330.9,323
15549,22:00.0,3,1693.26,77
14553,20:00.0,5,859.27,19
14012,26:00.0,1,328.8,277
13926,16:00.0,1,223.85,23
12930,18:00.0,2,415.8,78
16817,03:00.0,9,1604.75,2
17315,15:00.0,38,6292.26,1
14653,45:00.0,7,1947.55,1
14908,56:00.0,1,277.8,74
15400,57:00.0,5,716.2,92
12738,27:00.0,1,155.35,372
12987,03:00.0,2,558.7,73
13236,50:00.0,2,744.85,24
12489,13:00.0,1,334.93,336
14902,34:00.0,1,332.66,25
13136,41:00.0,5,2607.61,56
16966,40:00.0,7,2154.97,8
14759,03:00.0,3,1625.97,4
16923,00:00.0,19,7247.61,12
14261,04:00.0,2,1163.45,50
16425,30:00.0,1,302.7,302
17464,19:00.0,1,289.96,158
15300,08:00.0,1,496.44,64
12638,11:00.0,1,671.69,33
16525,07:00.0,26,13027.45,2
12446,50:00.0,1,1002.31,57
15443,40:00.0,7,3236.91,1
17856,40:00.0,4,1418.03,1
16774,41:00.0,4,661.52,67
15692,12:00.0,1,191.04,28
13279,24:00.0,1,137.75,78
16133,24:00.0,33,14589.04,3
13969,11:00.0,18,9053.94,7
13428,20:00.0,1,218.47,10
12346,01:00.0,1,77183.6,325
15051,38:00.0,3,1391.61,23
16674,31:00.0,2,319.61,54
15592,59:00.0,1,388.58,46
16150,39:00.0,5,2053.02,42
13826,48:00.0,1,189.5,176
14158,08:00.0,1,507.66,40
18071,59:00.0,2,453,257
15154,05:00.0,1,296.42,75
17384,48:00.0,2,336.4,19
16173,53:00.0,6,1418.32,15
15841,15:00.0,4,1224.06,72
16837,27:00.0,11,3170.98,31
17169,25:00.0,2,835.78,57
17716,00:00.0,11,5655.99,22
18048,58:00.0,2,172.29,203
16505,14:00.0,1,777.6,31
14776,34:00.0,11,2538.3,51
14112,30:00.0,7,2915.15,22
13448,33:00.0,6,3539.37,16
12784,38:00.0,2,574.42,9
13116,33:00.0,1,501.14,138
13780,49:00.0,2,360.01,7
12452,28:00.0,2,430.57,16
13139,54:00.0,7,5064.94,16
14467,48:00.0,4,598.76,17
14135,38:00.0,15,4690.31,1
13471,44:00.0,4,2531.58,1
14799,16:00.0,1,157.7,51
13803,57:00.0,1,277.07,255
15463,57:00.0,1,126.14,29
14321,47:00.0,5,1530.75,10
16906,49:00.0,4,579.77,81
13070,45:00.0,1,228.8,192
14985,29:00.0,2,296.75,198
16983,10:00.0,7,1931.25,12
12993,49:00.0,4,414.76,23
12406,22:00.0,2,3415.3,22
13657,32:00.0,2,382.14,10
16319,27:00.0,1,404.4,217
15655,25:00.0,1,560.67,243
14298,12:00.0,44,51527.3,8
18257,48:00.0,8,2337.63,39
14968,58:00.0,1,147.59,30
15632,51:00.0,8,3285.31,15
12429,22:00.0,4,3750.4,9
12970,30:00.0,4,452.24,7
13093,14:00.0,8,7832.47,275
14304,50:00.0,1,383.45,222
13634,40:00.0,5,1575.16,33
12947,06:00.0,6,1603.99,143
13611,51:00.0,3,1171.8,89
12778,30:00.0,6,822.23,19
17693,48:00.0,1,200.47,137
15532,51:00.0,4,1580.93,25
17029,06:00.0,2,716,110
17524,32:00.0,1,145,361
16883,51:00.0,2,276.73,187
17006,09:00.0,4,781.78,4
16342,36:00.0,4,322.41,75
12383,02:00.0,5,1850.56,184
12924,55:00.0,4,933.7,88
18211,10:00.0,5,600.07,25
15678,25:00.0,1,352.7,52
17670,12:00.0,1,205.7,227
17152,19:00.0,3,1689.5,194
18065,30:00.0,14,2392.83,5
14235,37:00.0,5,3144.86,75
16156,42:00.0,9,3122.04,8
16405,24:00.0,2,167.25,302
17733,16:00.0,2,692.19,38
12824,49:00.0,1,397.12,59
14152,54:00.0,2,621.29,75
16737,03:00.0,1,417.6,53
16843,06:00.0,16,10196.57,42
17046,24:00.0,1,642.02,157
17839,27:00.0,1,338.8,42
16050,44:00.0,1,137.9,173
18171,13:00.0,5,1231.31,58
13548,50:00.0,2,682.41,96
13216,18:00.0,1,333.74,267
15171,36:00.0,1,1289.5,331
17530,42:00.0,10,2385,1
15858,48:00.0,5,1438.85,15
15363,28:00.0,1,326,372
16359,04:00.0,9,1750.92,7
14198,35:00.0,4,701.4,18
13949,35:00.0,6,2427.32,2
14530,38:00.0,6,2925.91,25
15031,19:00.0,4,668.14,4
15526,04:00.0,2,148.44,33
15609,00:00.0,1,298.48,184
15277,08:00.0,1,255.9,46
18217,18:00.0,2,621.75,29
14344,51:00.0,8,889.93,127
13262,06:00.0,1,200.29,263
17676,16:00.0,6,1387.68,4
14676,29:00.0,6,2548.24,31
16545,37:00.0,1,339.3,164
14885,05:00.0,1,765.32,131
13594,19:00.0,1,396.97,52
16213,03:00.0,1,159,78
13408,05:00.0,62,28117.04,1
17238,35:00.0,17,3744.65,2
15572,09:00.0,7,2552.86,4
16989,39:00.0,6,1133.25,7
16900,32:00.0,3,887.11,16
13989,47:00.0,2,1266.08,65
14089,38:00.0,1,161,56
17630,58:00.0,2,503.6,169
13302,56:00.0,1,63.75,155
17925,10:00.0,1,244.08,372
14636,12:00.0,2,609.85,36
15423,01:00.0,1,43.5,38
16302,44:00.0,1,233.22,126
15864,32:00.0,6,1936.32,22
15615,42:00.0,23,10399.74,10
17779,15:00.0,3,658.57,21
12615,02:00.0,4,2291.19,2
16943,57:00.0,3,816.73,211
16110,35:00.0,3,1337.48,45
16697,12:00.0,1,112.75,241
18274,03:00.0,1,175.92,30
14782,12:00.0,1,200.1,319
13697,14:00.0,1,151.3,38
17633,25:00.0,4,1324.84,31
17092,51:00.0,4,1777.78,50
16010,14:00.0,3,407.5,245
17338,23:00.0,8,6643.93,17
16551,38:00.0,3,922.12,95
15469,21:00.0,2,538.55,50
16256,18:00.0,1,752.43,266
17879,36:00.0,1,178.52,173
17988,00:00.0,7,201.12,11
15569,15:00.0,5,1375.71,103
16399,12:00.0,2,408.57,19
14407,02:00.0,6,2157.73,107
15901,43:00.0,3,363.88,16
14905,41:00.0,2,616.15,157
12841,13:00.0,25,4022.35,4
14550,12:00.0,2,765.62,10
15048,55:00.0,4,384.05,65
14052,30:00.0,1,225.36,19
13388,52:00.0,2,677.1,131
13886,17:00.0,1,243.56,71
13694,32:00.0,50,65039.62,3
14527,19:00.0,55,8508.82,2
15781,57:00.0,3,345.46,25
14195,29:00.0,2,1012,201
12535,48:00.0,2,716.35,91
16448,28:00.0,1,188.89,198
16777,41:00.0,2,226.35,80
13362,41:00.0,4,3090.74,9
13531,56:00.0,2,483.8,205
18108,56:00.0,1,271,254
16422,00:00.0,51,34684.4,17
13717,13:00.0,6,1445.01,32
12721,13:00.0,6,2656.13,31
15758,48:00.0,1,205.25,24
15426,36:00.0,5,1447.39,19
14762,20:00.0,1,300.52,263
12512,55:00.0,2,138.03,66
13176,43:00.0,1,492.84,46
13319,34:00.0,26,10845.55,5
15234,53:00.0,1,197,276
17155,38:00.0,2,251.7,17
17398,48:00.0,3,653.38,114
17232,21:00.0,2,421.52,2
16734,44:00.0,3,650.51,52
15240,50:00.0,5,1706.57,44
12821,51:00.0,1,92.72,214
14570,58:00.0,2,218.06,280
15068,47:00.0,2,553.36,46
17255,18:00.0,2,298.41,40
17796,38:00.0,4,697.9,40
16634,09:00.0,2,217.9,222
17298,43:00.0,2,498.42,101
13929,26:00.0,2,842.65,169
14427,23:00.0,2,363.34,50
16591,43:00.0,1,213.5,68
14593,48:00.0,3,617.99,21
15091,47:00.0,1,480.71,67
16093,09:00.0,1,17,106
16757,59:00.0,1,106.83,318
13860,57:00.0,5,1245.9,1
16442,43:00.0,3,616.79,1
14693,50:00.0,1,172.9,264
17447,18:00.0,2,541.53,40
13196,54:00.0,4,1797.78,11
14450,46:00.0,3,483.25,180
17939,27:00.0,1,99.14,159
14029,46:00.0,2,467.66,63
13368,59:00.0,2,623.4,256
15360,35:00.0,1,427.93,39
16614,36:00.0,1,506.19,182
15260,55:00.0,7,1810.77,100
17965,31:00.0,14,2622.57,37
12678,04:00.0,12,17628.46,42
14719,43:00.0,5,1602.13,1
18088,41:00.0,1,167.67,61
15801,52:00.0,3,1063.95,46
17069,13:00.0,9,2709.7,28
17816,34:00.0,4,36.56,36
14401,30:00.0,13,4051.48,4
13488,41:00.0,13,8968.31,17
17567,48:00.0,8,4331.48,7
16073,41:00.0,1,122.4,297
12492,15:00.0,2,263.21,63
16571,46:00.0,3,1421.69,26
12990,01:00.0,3,409.5,31
16322,41:00.0,2,326.75,1
16820,06:00.0,1,497.61,95
13239,25:00.0,1,329.56,261
15005,25:00.0,28,6316.57,15
17175,31:00.0,4,1443.69,44
14009,47:00.0,2,695.61,198
14507,21:00.0,6,1383.18,23
12884,10:00.0,1,309.05,88
12847,16:00.0,1,871.54,22
16714,09:00.0,3,1161.53,218
15552,47:00.0,1,90.12,217
13382,03:00.0,1,222.99,280
17212,42:00.0,1,226.85,253
12386,37:00.0,2,401.9,337
14948,16:00.0,6,1101.97,23
13617,50:00.0,3,544.18,40
13866,54:00.0,1,145.67,74
18194,29:00.0,1,973.84,82
15695,32:00.0,2,409.98,266
15944,33:00.0,1,325.1,276
14862,01:00.0,2,841.2,25
14699,54:00.0,1,109.13,214
12598,18:00.0,8,3023.08,9
13631,57:00.0,11,3070.42,99
13680,47:00.0,4,3722.42,1
14221,42:00.0,9,3432.8,42
18008,17:00.0,9,2116.19,70
14258,27:00.0,9,12669.98,9
12635,04:00.0,2,1689.18,89
15303,59:00.0,1,574.02,290
15881,59:00.0,5,501.39,312
16963,48:00.0,1,110.55,187
16926,42:00.0,1,230.25,371
13325,36:00.0,1,675.3,81
15987,38:00.0,7,1451.28,12
13823,22:00.0,2,957.66,18
15738,26:00.0,16,4812.42,18
16236,10:00.0,1,432.2,78
18151,35:00.0,2,653.35,134
15489,53:00.0,3,1134.28,22
17653,46:00.0,4,1207.56,36
13425,13:00.0,3,1624.21,108
16628,45:00.0,5,2188.05,29
18251,03:00.0,1,4314.72,87
15589,54:00.0,3,478.53,255
16136,10:00.0,3,709.38,59
17759,02:00.0,3,834.99,17
13923,33:00.0,1,351.13,53
14364,01:00.0,8,3717.35,108
16279,00:00.0,3,1509.58,21
15197,00:00.0,3,1079.61,10
17361,43:00.0,3,488.2,49
13282,33:00.0,3,1132.14,18
16528,45:00.0,1,244.41,3
13033,23:00.0,1,190.55,357
16379,38:00.0,4,2157.4,4
15838,00:00.0,19,33643.08,11
14756,13:00.0,1,738.96,15
15297,32:00.0,3,641.94,10
14215,19:00.0,6,1789.72,11
17461,21:00.0,3,757.46,22
13133,31:00.0,2,109.8,273
12592,04:00.0,2,437.6,92
12664,07:00.0,9,4881.88,8
15581,38:00.0,13,3679.97,120
16245,14:00.0,3,1413.66,23
17905,33:00.0,4,800.24,71
13328,22:00.0,1,1308.48,316
17573,01:00.0,3,380.6,29
16909,45:00.0,1,379.14,72
16554,51:00.0,3,837.1,42
16222,38:00.0,1,846.72,318
14562,05:00.0,18,5074.77,3
13351,55:00.0,1,373.94,66
15226,41:00.0,1,154.41,310
12355,49:00.0,1,459.4,214
14015,02:00.0,1,917.34,52
14894,51:00.0,1,655.75,85
15867,32:00.0,15,3812.64,5
14702,29:00.0,17,3292.14,1
15535,02:00.0,4,536.4,173
13875,36:00.0,5,1786.79,53
15203,16:00.0,6,1827.8,25
14871,42:00.0,4,522.38,3
12710,00:00.0,3,1149.02,96
14038,37:00.0,3,1560.38,78
13706,21:00.0,1,330.79,302
15034,11:00.0,8,4308.61,15
14539,50:00.0,2,537.48,15
18120,45:00.0,1,111.15,214
15180,57:00.0,1,87.5,367
13520,20:00.0,6,3624.35,58
15512,20:00.0,2,121,155
13188,28:00.0,1,114.6,11
15057,17:00.0,2,1489.5,275
14725,42:00.0,1,718.08,24
14393,16:00.0,1,67.95,218
15721,14:00.0,1,507.08,11
16053,21:00.0,2,1511.95,32
14184,43:00.0,1,452.89,66
15389,18:00.0,1,500,172
14493,14:00.0,5,2383.24,7
17742,28:00.0,2,355.11,113
12501,28:00.0,1,2169.39,336
13165,05:00.0,2,1021.48,46
17078,17:00.0,2,378.2,36
16076,59:00.0,10,2234.73,3
14748,33:00.0,5,1415.75,29
16414,42:00.0,2,126.25,21
15412,24:00.0,1,190.53,171
17101,57:00.0,4,1621.73,10
16099,13:00.0,3,731.9,50
17765,41:00.0,3,371.88,158
17642,11:00.0,2,712.29,119
13142,07:00.0,1,307.09,19
13806,43:00.0,1,256.38,63
12478,56:00.0,1,680.99,3
17427,29:00.0,1,100.8,71
16763,52:00.0,1,611.85,198
15435,39:00.0,1,149.29,22
17450,29:00.0,46,194550.79,8
18283,02:00.0,16,2094.88,3
15704,35:00.0,4,2293.62,140
18114,20:00.0,1,220.1,290
16122,34:00.0,4,684.42,73
14201,27:00.0,7,747.44,60
12455,31:00.0,6,2466.86,73
16955,36:00.0,4,518.67,184
16368,12:00.0,2,497.43,2
17619,18:00.0,1,218.52,312
12873,58:00.0,1,374,282
17719,36:00.0,15,5396.04,37
12432,43:00.0,5,5059.32,42
17596,11:00.0,7,2827.93,23
15727,36:00.0,7,5178.96,16
16809,45:00.0,5,914.69,23
16268,30:00.0,2,667.65,71
18260,37:00.0,6,2643.2,172
16932,12:00.0,1,161.94,53
13514,39:00.0,1,152.2,73
17828,41:00.0,4,1820.09,22
17579,28:00.0,3,448.9,4
15658,22:00.0,5,1024.1,190
17496,39:00.0,1,271.05,358
15326,38:00.0,1,311.71,333
14247,21:00.0,1,136.77,278
16013,36:00.0,47,37130.6,3
16892,18:00.0,5,525.54,1
13892,50:00.0,4,632.97,26
12564,55:00.0,1,456.9,261
17888,45:00.0,8,726.05,21
16560,35:00.0,2,841.41,26
13560,11:00.0,1,174.37,7
16345,03:00.0,1,575.41,44
14888,58:00.0,1,369.2,207
18183,26:00.0,2,632.07,227
18220,03:00.0,1,305.28,226
15017,33:00.0,1,125.58,33
14284,11:00.0,2,595.25,30
15953,32:00.0,8,1659.38,15
12624,04:00.0,2,641.13,106
15621,01:00.0,4,1293.03,4
16949,07:00.0,6,1286.27,3
13952,00:00.0,2,3251.07,217
12956,08:00.0,1,108.07,306
14934,10:00.0,2,1890.94,81
14639,06:00.0,6,2984.49,52
13643,37:00.0,3,519.44,31
15266,40:00.0,1,119.3,338
13311,55:00.0,2,598.57,4
14971,07:00.0,3,1116.57,35
16594,08:00.0,1,181.09,75
12418,08:00.0,1,668.58,112
16746,33:00.0,18,6697.66,4
14825,38:00.0,12,2226.91,3
16159,27:00.0,1,348.2,281
18074,53:00.0,1,489.6,373
13497,04:00.0,2,348.05,282
17636,40:00.0,1,285.56,19
17974,37:00.0,3,740.79,24
17095,21:00.0,3,1324.16,22
16308,24:00.0,4,2560,37
17433,24:00.0,1,303.16,88
15472,17:00.0,1,371.56,113
17287,27:00.0,7,1064.11,26
16700,00:00.0,13,5076.55,8
16454,40:00.0,2,6.9,44
15372,39:00.0,1,2007.4,137
16205,32:00.0,4,761.38,30
12372,12:00.0,3,1298.04,71
16059,56:00.0,6,1459.86,65
15518,05:00.0,8,1942.45,64
16600,00:00.0,6,813.52,4
17682,59:00.0,6,2474.33,10
12518,13:00.0,5,2056.89,0
17928,52:00.0,2,212.54,45
17387,00:00.0,2,784.11,19
16846,55:00.0,1,214.32,50
13059,40:00.0,1,183.4,249
13079,53:00.0,5,220.1,4
15498,48:00.0,27,13316.4,2
12415,22:00.0,21,124914.53,24
16992,50:00.0,5,1614.31,10
17656,04:00.0,5,1674.69,73
16494,49:00.0,1,826.53,296
15996,14:00.0,6,1060.68,88
16660,53:00.0,4,1267.65,16
17158,15:00.0,3,1266.97,32
12581,56:00.0,1,197.71,39
13577,19:00.0,4,1687.6,25
16162,03:00.0,1,37.4,252
18177,44:00.0,6,1341.42,31
12724,02:00.0,4,1031.41,5
17015,45:00.0,3,1842.56,28
17513,42:00.0,1,513.2,72
16517,50:00.0,1,162.7,277
12558,41:00.0,1,269.96,7
16351,26:00.0,1,153.9,332
18011,35:00.0,1,102.79,373
14124,32:00.0,1,419.58,84
18203,07:00.0,1,160.42,157
12793,12:00.0,2,545.48,334
17370,14:00.0,4,446.18,72
14453,15:00.0,1,119.93,190
18034,22:00.0,2,422.88,21
15120,48:00.0,1,358.82,133
14788,06:00.0,2,679.44,7
16139,37:00.0,3,635.41,18
17848,49:00.0,9,901.2,81
17725,34:00.0,11,3439.08,16
17135,48:00.0,7,1139.73,16
12438,28:00.0,2,2906.85,14
14098,13:00.0,1,147.35,36
15143,03:00.0,1,259.45,225
13434,30:00.0,2,534.24,74
16803,28:00.0,1,332.3,65
15329,36:00.0,3,1049.7,39
14665,14:00.0,5,1835.7,60
15827,35:00.0,14,1836.09,73
17991,58:00.0,2,93.35,225
15163,10:00.0,2,304.47,18
13248,40:00.0,2,465.68,124
13414,45:00.0,3,1390.5,133
12750,13:00.0,1,275.88,128
16829,48:00.0,1,197.22,156
13265,02:00.0,5,2107.66,53
15804,31:00.0,13,4206.39,0
15976,00:00.0,2,430.94,165
15306,56:00.0,3,1174.35,64
14765,53:00.0,3,254.11,29
17470,42:00.0,5,1125.07,44
13812,27:00.0,3,539,42
13099,40:00.0,1,207.36,99
15263,26:00.0,1,156.51,106
15429,28:00.0,2,397.35,26
17968,23:00.0,1,277.35,373
15970,08:00.0,1,314.1,303
12601,17:00.0,5,577.06,189
13271,31:00.0,1,217.38,37
13122,53:00.0,2,922.39,94
13955,19:00.0,2,322.96,154
16119,11:00.0,2,423.36,8
15286,08:00.0,1,240.55,49
14622,42:00.0,1,320.58,184
12458,25:00.0,2,947.4,71
13291,36:00.0,1,361.11,155
17201,55:00.0,1,342.63,53
12481,29:00.0,10,5596.32,22
17350,47:00.0,4,1286.07,8
14473,10:00.0,2,234.34,74
15186,58:00.0,2,411.41,14
14104,50:00.0,2,216.21,154
16096,38:00.0,1,320.62,264
16637,17:00.0,4,1154.47,32
14645,15:00.0,2,597.09,156
17891,08:00.0,1,203.86,162
14055,04:00.0,1,725.64,106
13932,02:00.0,1,307.4,294
13391,50:00.0,1,59.8,203
14745,05:00.0,5,1220.26,112
13334,21:00.0,3,3536.82,82
18160,50:00.0,2,638.06,57
13583,40:00.0,1,781.03,155
13832,36:00.0,1,52.2,19
17911,52:00.0,1,366.23,9
15243,12:00.0,1,316.68,74
15492,53:00.0,2,659.46,28
17058,13:00.0,3,1179.89,81
14224,24:00.0,4,1050.12,110
15349,06:00.0,2,473.81,158
14851,20:00.0,2,511.35,23
13726,49:00.0,2,1079.66,38
13228,28:00.0,1,358,81
15847,41:00.0,2,389.27,38
14353,06:00.0,1,90.6,215
17556,48:00.0,1,157.9,205
16866,06:00.0,3,207.74,140
14957,59:00.0,1,58.49,253
13285,19:00.0,4,2709.12,23
16617,35:00.0,1,151.85,235
12538,16:00.0,1,363.95,29
15206,41:00.0,4,420.3,10
17948,58:00.0,1,358.56,147
12352,37:00.0,8,2506.04,36
13975,19:00.0,6,2526.28,31
17221,35:00.0,2,335.13,7
16225,30:00.0,5,1096.32,44
16680,35:00.0,1,183.7,43
12893,34:00.0,1,188.14,30
15598,04:00.0,1,240.68,53
14410,08:00.0,9,1105.07,92
14416,22:00.0,2,490.22,22
12744,18:00.0,7,21279.29,51
16574,39:00.0,1,451.44,71
14659,17:00.0,9,2529.93,8
16325,48:00.0,3,594.24,46
14161,41:00.0,3,1110.52,215
16823,00:00.0,1,358.38,227
14808,21:00.0,8,2741.17,39
13769,08:00.0,10,2796.51,2
16474,02:00.0,7,1871.5,7
15933,14:00.0,3,1107.46,21
16431,09:00.0,3,642.81,213
